,Year,Month,Day,Effective_Federal_Funds_Rate,Date
0,2014,2,1,0.07,2014-02-01
1,2014,3,1,0.08,2014-03-01
2,2014,4,1,0.09,2014-04-01
3,2014,5,1,0.09,2014-05-01
4,2014,6,1,0.1,2014-06-01
5,2014,7,1,0.09,2014-07-01
6,2014,8,1,0.09,2014-08-01
7,2014,9,1,0.09,2014-09-01
8,2014,10,1,0.09,2014-10-01
9,2014,11,1,0.09,2014-11-01
10,2014,12,1,0.12,2014-12-01
11,2015,1,1,0.11,2015-01-01
12,2015,2,1,0.11,2015-02-01
13,2015,3,1,0.11,2015-03-01
14,2015,4,1,0.12,2015-04-01
15,2015,5,1,0.12,2015-05-01
16,2015,6,1,0.13,2015-06-01
17,2015,7,1,0.13,2015-07-01
18,2015,8,1,0.14,2015-08-01
19,2015,9,1,0.14,2015-09-01
20,2015,10,1,0.12,2015-10-01
21,2015,11,1,0.12,2015-11-01
22,2015,12,1,0.24,2015-12-01
23,2016,1,1,0.34,2016-01-01
24,2016,2,1,0.38,2016-02-01
25,2016,3,1,0.36,2016-03-01
26,2016,4,1,0.37,2016-04-01
27,2016,5,1,0.37,2016-05-01
28,2016,6,1,0.38,2016-06-01
29,2016,7,1,0.39,2016-07-01
30,2016,8,1,0.4,2016-08-01
31,2016,9,1,0.4,2016-09-01
32,2016,10,1,0.4,2016-10-01
33,2016,11,1,0.41,2016-11-01
34,2016,12,1,0.54,2016-12-01
35,2017,1,1,0.65,2017-01-01
36,2017,2,1,0.66,2017-02-01
37,2017,3,1,0.79,2017-03-01
38,2017,4,1,0.9,2017-04-01
39,2017,5,1,0.91,2017-05-01
40,2017,6,1,1.04,2017-06-01
41,2017,7,1,1.15,2017-07-01
42,2017,8,1,1.16,2017-08-01
43,2017,9,1,1.15,2017-09-01
44,2017,10,1,1.15,2017-10-01
45,2017,11,1,1.16,2017-11-01
46,2017,12,1,1.3,2017-12-01
47,2018,1,1,1.41,2018-01-01
48,2018,2,1,1.42,2018-02-01
49,2018,3,1,1.51,2018-03-01
50,2018,4,1,1.67,2018-04-01
51,2018,5,1,1.7,2018-05-01
52,2018,6,1,1.82,2018-06-01
53,2018,7,1,1.91,2018-07-01
54,2018,8,1,1.91,2018-08-01
55,2018,9,1,1.95,2018-09-01
56,2018,10,1,2.19,2018-10-01
57,2018,11,1,2.2,2018-11-01
58,2018,12,1,2.27,2018-12-01
59,2019,1,1,2.4,2019-01-01
60,2019,2,1,2.4,2019-02-01
61,2019,3,1,2.41,2019-03-01
62,2019,4,1,2.42,2019-04-01
63,2019,5,1,2.39,2019-05-01
64,2019,6,1,2.38,2019-06-01
65,2019,7,1,2.4,2019-07-01
66,2019,8,1,2.13,2019-08-01
67,2019,9,1,2.04,2019-09-01
68,2019,10,1,1.83,2019-10-01
69,2019,11,1,1.55,2019-11-01
70,2019,12,1,1.55,2019-12-01
71,2020,1,1,1.55,2020-01-01
72,2020,2,1,1.58,2020-02-01
73,2020,3,1,0.65,2020-03-01
74,2020,4,1,0.05,2020-04-01
75,2020,5,1,0.05,2020-05-01
76,2020,6,1,0.08,2020-06-01
77,2020,7,1,0.09,2020-07-01
78,2020,8,1,0.1,2020-08-01
79,2020,9,1,0.09,2020-09-01
80,2020,10,1,0.09,2020-10-01
81,2020,11,1,0.09,2020-11-01
82,2020,12,1,0.09,2020-12-01
